,OBJECTID *,address,zip,lat,long,neighborhood,status,NTA2020,NTAName,NTAAbbrev,CDTA2020,CDTAName,NTAType
613,614,"47-15 47th st apt 3f woodside, ny 11377 11377",11377,40.740502,-73.917915,West Queens,No Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
614,615,"4247 194th st apt 1 flushing, ny 11358 11358",11358,40.758365,-73.787374,North Queens,No Claim,QN1101,Auburndale,Abrndl,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),0
615,616,"64-19 70th st apt 2 middle village, ny 11379 11379",11379,40.715637,-73.884873,West Central Queens,Inconclusive,QN0504,Middle Village,MddlVlg,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
616,617,"59-67 60th pl apt 2f maspeth, ny 11378 11378",11378,40.717205,-73.90451,West Queens,Inconclusive,QN0501,Maspeth,Mspth,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
617,618,"5670 melvina pl apt 2 maspeth, ny 11378 11378",11378,40.723492,-73.909705,West Queens,Claim,QN0501,Maspeth,Mspth,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
618,619,"8916 rutledge ave apt 1 ridgewood, ny 11385 11385",11385,40.710031,-73.860993,West Central Queens,No Claim,QN0503,Glendale,Glndl,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
619,620,"58-17 60th pl apt 2 maspeth, ny 11378 11378",11378,40.719635,-73.90526,West Queens,Claim,QN0501,Maspeth,Mspth,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
620,621,"139-09 34th rd apt 4c9 flushing, ny 11354 11354",11354,40.766569,-73.828786,North Queens,No Claim,QN0707,Flushing-Willets Point,Flshng,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),0
621,622,"3216 137th st apt 4f flushing, ny 11354 11354",11354,40.767501,-73.830998,North Queens,Inconclusive,QN0707,Flushing-Willets Point,Flshng,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),0
622,623,"13236 pople ave apt 4b flushing, ny 11355 11355",11355,40.753311,-73.8312,North Queens,TBD,QN0707,Flushing-Willets Point,Flshng,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),0
623,624,"42-70 156th st apt 2cr flushing, ny 11355 11355",11355,40.759368,-73.809971,North Queens,No Claim,QN0705,East Flushing,EstFlshng,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),0
624,625,"445 west 36th street #6 in hudson yards
",10018,40.75563,-73.997416,Chelsea and Clinton,Inconclusive,MN0401,Chelsea-Hudson Yards,Chls_HdsYd,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),0
625,626,308 east 90th street #2a. in yorkville,10128,40.779987,-73.949231,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),0
626,627,525 west 135th street #42 in hamilton heights,10031,40.819901,-73.953869,Inwood and Washington Heights,No Claim,MN0902,Manhattanville-West Harlem,Mnhttnvl,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
627,628,1946 amsterdam avenue #5 in washington heights,10032,40.832642,-73.942653,Inwood and Washington Heights,No Claim,MN1201,Washington Heights (South),WshHts_S,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
628,629,"424 west 154th street  new york, ny 10032 10032",10032,40.83043,-73.942744,Inwood and Washington Heights,Inconclusive,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
629,630,"102-40 67th rd apt 1c forest hills, ny 11375 11375",11375,40.727078,-73.850736,West Central Queens,Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
630,631,"70-46 57th rd maspeth, ny 11378 11378",11378,40.727308,-73.891125,West Queens,No Claim,QN0501,Maspeth,Mspth,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
631,632,"47-30 44th st apt 2 woodside, ny 11377 11377",11377,40.74123,-73.920878,West Queens,No Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
632,633,"20-44 29th st apt l astoria, ny 11105 11105",11105,40.779601,-73.908552,Northwest Queens,No Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
633,634,"46-05 broadway apt 2l astoria, ny 11103 11103",11103,40.756739,-73.913788,Northwest Queens,Inconclusive,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
634,635,"28-33 37th st apt 3 astoria, ny 11103 11103",11103,40.765213,-73.915722,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
635,636,"25-95 37th st apt b3 astoria, ny 11103 11103",11101,40.766326,-73.915093,Northwest Queens,Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
636,637,"29-10 newton ave apt 1c astoria, ny 11102 11102",11210,40.616943,-73.945641,Northwest Queens,No Claim,BK1801,Flatlands,Fltlnds,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),0
637,638,"24-07 19th st apt 2e astoria, ny 11102 11102",11102,40.777107,-73.922801,Northwest Queens,Inconclusive,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
638,639,"8807 bedell ln apt 1, brooklyn, ny 11236 11236",11236,40.643287,-73.911468,Canarsie and Flatlands,Claim,BK1803,Canarsie,Cnrsie,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),0
639,640,"154 albany avenue apt 2e, brooklyn, ny, 11213 11213",11213,40.675307,-73.939139,Central Brooklyn,Inconclusive,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0
640,641,"511 van buren st apt 1f, brooklyn, ny 11221 11221",11221,40.691986,-73.928484,Bushwick and Williamsburg,Inconclusive,BK0302,Bedford-Stuyvesant (East),BdSty_E,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
641,642,"310 autumn ave apt 2f, brooklyn, ny 11208 11208",11208,40.682572,-73.870239,East New York and New Lots,Inconclusive,BK0501,Cypress Hills,CyprssHls,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),0
642,643,"160 ocean pkwy apt 6a, brooklyn, ny 11218 11218",11218,40.64635,-73.975335,Borough Park,No Claim,BK1203,Kensington,Knsngtn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
643,644,"69 gates ave apt 6r, brooklyn, ny 11238
 11238",11238,40.684639,-73.965832,Central Brooklyn,No Claim,BK0204,Clinton Hill,ClntnHl,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0
644,645,"250 ocean pkwy apt 6p, brooklyn, ny 11218 11218",11218,40.643479,-73.974841,Borough Park,Inconclusive,BK1203,Kensington,Knsngtn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
645,646,"8201 4th ave apt 3a, brooklyn, ny 11209 11209",11209,40.62539,-74.026881,Southwest Brooklyn,Inconclusive,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
646,647,"401 convent ave apt 1c, manhattan, ny 10031 10031",10031,40.825984,-73.945067,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
647,648,"23-08 42nd st apt 1 astoria, ny 11105 11105",11105,40.769903,-73.907358,Northwest Queens,No Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
648,649,"20-21 48th st apt 2 astoria, ny 11105 11105",11105,40.77228,-73.89703,Northwest Queens,Inconclusive,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
649,650,"18-36 21st dr apt 2r astoria, ny 11105 11105",11105,40.782145,-73.91819,Northwest Queens,Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
650,651,"28-44 31st st apt 2f astoria, ny 11102 11102",11102,40.767539,-73.921256,Northwest Queens,Inconclusive,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
651,652,"221 himrod street apt 2rb, brooklyn, ny, 11237 11237",11237,40.699503,-73.920712,Bushwick and Williamsburg,No Claim,BK0401,Bushwick (West),Bshwck_W,BK04,BK04 Bushwick (CD 4 Equivalent),0
652,653,"471 chauncey street apt 1h, brooklyn, ny, 11233 11233",11233,40.682263,-73.915667,Central Brooklyn,Inconclusive,BK1601,Ocean Hill,OcnHl,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),0
653,654,"616 crescent street apt 1gr, brooklyn, ny, 112089 11208",11208,40.672628,-73.869633,East New York and New Lots,Inconclusive,BK0505,East New York-City Line,ENY_CtyLn,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),0
654,655,"1283 nostrand avenue apt 1e, brooklyn, ny, 11226 11226",11226,40.65578,-73.949874,Flatbush,No Claim,BK0902,Prospect Lefferts Gardens-Wingate,PLG_Wngt,BK09,BK09 Crown Heights (South) (CD 9 Approximation),0
655,656,"202 23rd street apt 6, brooklyn, ny, 11232 11232",11232,40.660818,-73.995949,Sunset Park,No Claim,BK0702,Sunset Park (West),SnstPk_W,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
656,657,"1526 park place apt 1a, brooklyn, ny, 11213 11213",11213,40.671927,-73.926728,Central Brooklyn,TBD,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0
657,658,"27 broadway terrace apt 2b, manhattan, ny 10040 10040",10040,40.857841,-73.93128,Inwood and Washington Heights,No Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
658,659,"142 west 130th st, manhattan, ny 10027 10027",10027,40.811451,-73.944776,Central Harlem,No Claim,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),0
659,660,"2275 morris ave apt 3a, bronx, ny 10453 10453",10453,40.85806,-73.902236,Central Bronx,No Claim,BX0503,Fordham Heights,FrdhmHts,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),0
660,661,"2095 madison ave, manhattan, ny 10037 10037",10037,40.809934,-73.937199,Central Harlem,No Claim,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),0
661,662,"322 east 26th st, manhattan, ny 10035 10035",10010,40.739295,-73.97883,East Harlem,Inconclusive,MN0603,Murray Hill-Kips Bay,MryHl_KpBy,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),0
662,663,"491 tompkins avenue unit 2r, brooklyn, ny, 11216 11216",11216,40.680518,-73.943155,Central Brooklyn,Inconclusive,BK0301,Bedford-Stuyvesant (West),BdSty_W,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
663,664,"4 gotham avenue apt 2, brooklyn, ny, 11229 11229",11229,40.589008,-73.928209,Southern Brooklyn,Inconclusive,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,ShpshdBy,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
664,665,"7124 fifth avenue apt 2f, brooklyn, ny, 11209 11209",11209,40.632112,-74.021818,Southwest Brooklyn,No Claim,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
665,666,"10406 avenue l apt 2, brooklyn, ny, 11236 11236",11236,40.642096,-73.889549,Canarsie and Flatlands,Inconclusive,BK1803,Canarsie,Cnrsie,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),0
666,667,"7201 fourth avenue apt 18, brooklyn, ny, 11209 11209",11209,40.632376,-74.024091,Southwest Brooklyn,TBD,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
667,668,"2530 beverley road, brooklyn, ny, 11226 11226",11226,40.644682,-73.953005,Flatbush,No Claim,BK1701,East Flatbush-Erasmus,EFb_Ersms,BK17,BK17 East Flatbush (CD 17 Approximation),0
668,669,"243 east broadway, manhattan, ny 10002 10002",10002,40.714216,-73.986107,Lower East Side,Inconclusive,MN0301,Chinatown-Two Bridges,Chntwn,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),0
669,670,"79 westchester sq apt 2, bronx, ny 10461 10461",10461,40.840983,-73.84209,Southeast Bronx,Inconclusive,BX1001,Westchester Square,WstchstrSq,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0
670,671,"2419 adam clayton powell boulevard apt 5b, manhattan, ny 10030 10030",10030,40.819165,-73.940432,Central Harlem,No Claim,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),0
671,672,"45 sickles st, manhattan, ny 10040 10040",10040,40.862159,-73.928191,Inwood and Washington Heights,No Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
672,673,212-04 43rd avenue #3 in bayside,11101,40.750394,-73.945711,Northwest Queens,Inconclusive,QN0201,Long Island City-Hunters Point,LIC,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
673,674,43-10 210th street #2/e in bayside,11361,40.75998,-73.773514,Northeast Queens,Inconclusive,QN1102,Bayside,Bysd,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),0
674,675,221-51 horace harding boulevard #22f,11364,40.750203,-73.75537,Northeast Queens,Claim,QN1102,Bayside,Bysd,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),0
675,676,"19-73 38th st apt 3ef astoria, ny 11105 11105",11105,40.777316,-73.901709,Northwest Queens,Inconclusive,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
676,677,"23-68 36th st apt 2 astoria, ny 11105 11105",11105,40.771267,-73.912309,Northwest Queens,Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
677,678,"20-39 40th st apt w1 astoria, ny 11105 11105",11104,40.746637,-73.92399,Northwest Queens,Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
678,679,"25-70 23rd st apt l2 astoria, ny 11102 11102",11102,40.772196,-73.924302,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
679,680,"4406 25th ave apt 7 astoria, ny 11103 11103",11103,40.766225,-73.908339,Northwest Queens,Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
680,681,"21-12 21st st apt 1rear astoria, ny 11105 11105",11105,40.782159,-73.9152,Northwest Queens,No Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
681,682,"581 20th street apt 1, brooklyn, ny, 11218 11218",11218,40.6549,-73.980861,Borough Park,Inconclusive,BK0701,Windsor Terrace-South Slope,WndsrTr,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
682,683,"2355 east 12th street apt 16, brooklyn, ny, 11229 11229",11229,40.592543,-73.958713,Southern Brooklyn,No Claim,BK1501,Gravesend (East)-Homecrest,Grvsnd_E,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
683,684,"925 prospect place apt 2j, brooklyn, ny, 11213 11213",11213,40.674334,-73.945947,Central Brooklyn,Inconclusive,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0
684,685,"55 92nd street apt 3e, brooklyn, ny, 11209 11209",11209,40.621012,-74.038875,Southwest Brooklyn,Inconclusive,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
685,686,"9255 shore road apt 4, brooklyn, ny, 11209 11209",11209,40.619428,-74.03993,Southwest Brooklyn,Inconclusive,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
686,687,"354 bay ridge parkway, apt 2g brooklyn, ny, 11209 11209",11209,40.630865,-74.026353,Southwest Brooklyn,Inconclusive,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
687,688,"400 argyle road, apt 5, brooklyn, ny, 11218 11218",11218,40.639091,-73.966152,Borough Park,No Claim,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
688,689,"1207 dean street, apt 2a, brooklyn, ny, 11216 11216",11216,40.677085,-73.94931,Central Brooklyn,Inconclusive,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0
689,690,"22 saint nicholas pl apt 502, new york, ny 10031
 10031",10031,40.827766,-73.9417,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
690,691,"747 e 133rd st apt 3a
bronx, ny 10454 10454",10454,40.801427,-73.914467,Hunts Point and Mott Haven,No Claim,BX0101,Mott Haven-Port Morris,MttHvn,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),0
691,692,"1427 merry ave apt 1
bronx, ny 10461 10461",10461,40.842123,-73.828218,Southeast Bronx,Inconclusive,BX1002,Throgs Neck-Schuylerville,ThrgsNck,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0
692,693,"1827 barnes ave apt 0
bronx, ny 10462 10462",10462,40.846714,-73.863109,Southeast Bronx,No Claim,BX1101,Pelham Parkway-Van Nest,PlhmPkwy,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),0
693,694,"1721 hobart ave apt 1f
bronx, ny 10461 10461",10461,40.846219,-73.830956,Southeast Bronx,Inconclusive,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0
694,695,"1814 mayflower ave apt 1
bronx, ny 10461 10461",10461,40.847859,-73.833944,Southeast Bronx,TBD,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0
695,696,"2541 aqueduct ave w apt c5
bronx, ny 10468 10468",10468,40.865907,-73.90188,Bronx Park and Fordham,No Claim,BX0701,University Heights (North)-Fordham,UnvrsHts_N,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),0
696,697,"382 lefferts avenue apt 60, brooklyn, ny, 11225 11225",11225,40.662337,-73.948752,Flatbush,TBD,BK0902,Prospect Lefferts Gardens-Wingate,PLG_Wngt,BK09,BK09 Crown Heights (South) (CD 9 Approximation),0
697,698,"147 lexington avenue apt ground, brooklyn, ny, 11216 11216",11216,40.687163,-73.956517,Central Brooklyn,No Claim,BK0301,Bedford-Stuyvesant (West),BdSty_W,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
698,699,"844 41st street apt 1, brooklyn, ny, 11232 11232",11232,40.645286,-73.997477,Sunset Park,Inconclusive,BK1201,Sunset Park (East)-Borough Park (West),SnstPk_E,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
699,700,"1912 avenue h apt 4e,  brooklyn, ny, 11230 11230",11230,40.630238,-73.958034,Borough Park,Claim,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
700,701,"119 15th street apt 2b, brooklyn, ny, 11215 11215",11215,40.667475,-73.992759,Northwest Brooklyn,Claim,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),0
701,702,"339 east 88th street  new york, ny 10128 10128",10128,40.778567,-73.948806,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),0
702,703,"109 west 130th st, new york, ny 10027 10027",10027,40.811401,-73.943822,Central Harlem,No Claim,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),0
703,704,"22 west 77th st #23, manhattan, ny",10024,40.77986,-73.97506,Upper West Side,No Claim,MN0702,Upper West Side (Central),UWS_C,MN07,MN07 Upper West Side (CD 7 Approximation),0
704,705,1013 avenue j #2,11230,40.624872,-73.965548,Borough Park,Inconclusive,BK1204,Mapleton-Midwood (West),Mpltn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
705,706,104 minna street apt 1 11218,11218,40.645536,-73.984173,Borough Park,Inconclusive,BK1203,Kensington,Knsngtn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
706,707,555 ovington avenue #d38,11209,40.632255,-74.019409,Southwest Brooklyn,Inconclusive,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
707,708,400 argyle road #rg5,11218,40.639091,-73.966152,Borough Park,Inconclusive,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
708,709,7101 fourth avenue apt f4 11209,11209,40.633395,-74.023615,Southwest Brooklyn,Claim,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
709,710,"628 e 5th st apt 2
brooklyn, ny 11218 11218",11218,40.636936,-73.974532,Borough Park,Inconclusive,BK1203,Kensington,Knsngtn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
710,711,"737 53rd st
brooklyn, ny 11220 11220",11220,40.640326,-74.006506,Sunset Park,No Claim,BK0703,Sunset Park (Central),SnstPk_C,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
711,712,"601 40th st apt a9
brooklyn, ny 11232 11232",11232,40.649439,-74.001841,Sunset Park,Inconclusive,BK0703,Sunset Park (Central),SnstPk_C,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
712,713,"511 w 135th st apt 5c, new york, ny 10031

 10031",10031,40.819537,-73.952969,Inwood and Washington Heights,No Claim,MN0902,Manhattanville-West Harlem,Mnhttnvl,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
713,714,"24-35 steinway st apt 5 astoria, ny 11103 11103",11103,40.768093,-73.911367,Northwest Queens,Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
714,715,"30-90 35th st apt 3f astoria, ny 11103 11103",11103,40.766306,-73.919509,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
715,716,"32-19 34th st apt 2 astoria, ny 11106 11106",11106,40.760182,-73.92316,Northwest Queens,Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
716,717,"35-31 32nd st apt 1 astoria, ny 11106 11106",11106,40.756893,-73.928198,Northwest Queens,Inconclusive,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
717,718,"35-16 34th st apt 3a astoria, ny 11106 11106",11106,40.756685,-73.926711,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
718,719,"32-37 34th st apt 1b astoria, ny 11106 11106",11106,40.759757,-73.923504,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
719,720,99-52 66 road #1h in rego park,11374,40.728261,-73.852283,West Central Queens,Inconclusive,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
720,721,"52-27 35th st apt c3, long island city, ny 11101 11101",11101,40.735677,-73.936052,Northwest Queens,Inconclusive,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
721,722,"23-48 broadway apt 2b, astoria, ny 11106
 11106",11106,40.76346,-73.928995,Northwest Queens,Inconclusive,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
722,723,"144-25 33rd ave apt 1aa, flushing, ny 11354 11354",11354,40.768509,-73.823178,North Queens,No Claim,QN0704,Murray Hill-Broadway Flushing,MryHl_BwyF,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),0
723,724,"61-20 grand central pkwy apt c304
forest hills, ny 11375 11375",11375,40.73967,-73.84552,West Central Queens,Inconclusive,QN8191,Flushing Meadows-Corona Park,FlshMdwCPk,QN81,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),9
724,725,"2-135 255th st apt 2
rosedale, ny 11422 11422",11422,40.658407,-73.73896,Southeast Queens,Inconclusive,QN1307,Rosedale,Rsdl,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),0
725,726,"84-42 smedley st apt 1b
jamaica, ny 11435 11435",11435,40.712334,-73.812853,Jamaica,Inconclusive,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),0
726,727,"83-67 116th st apt 405
richmond hill, ny 11418 11418",11418,40.704635,-73.835627,Southwest Queens,No Claim,QN0901,Kew Gardens,KwGrdns,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),0
727,728,"83-24 talbot st apt 1
kew gardens, ny 11415 11415",11415,40.709102,-73.828532,Southwest Queens,No Claim,QN0901,Kew Gardens,KwGrdns,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),0
728,729,"478 gates ave apt 1f, brooklyn, ny 11216
 11216",11216,40.686537,-73.946865,Central Brooklyn,Inconclusive,BK0301,Bedford-Stuyvesant (West),BdSty_W,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
729,730,"212 lewis ave apt 4d, brooklyn, ny 11221 11221",11221,40.689132,-73.936553,Bushwick and Williamsburg,No Claim,BK0302,Bedford-Stuyvesant (East),BdSty_E,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
730,731,"515 w 135th st apt 3b new york, ny 10031 10031",10031,40.819615,-73.953244,Inwood and Washington Heights,Inconclusive,MN0902,Manhattanville-West Harlem,Mnhttnvl,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
731,732,"612 w 137th st apt 68 new york, ny 10031 10031",10031,40.821664,-73.955155,Inwood and Washington Heights,No Claim,MN0902,Manhattanville-West Harlem,Mnhttnvl,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
732,733,"309 w 138th st apt 3 new york, ny 10030 10030",10030,40.818832,-73.945615,Central Harlem,Inconclusive,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),0
